timestamp,energy_kwh
2023-01-05 17:00:00,23.96
2023-01-05 18:00:00,21.19
2023-01-05 19:00:00,22.23
2023-01-05 20:00:00,10.17
2023-01-05 21:00:00,9.13
2023-01-05 22:00:00,6.74
2023-01-05 23:00:00,5.58
2023-01-06 00:00:00,5.58
2023-01-06 01:00:00,6.74
2023-01-06 02:00:00,5.14
2023-01-06 03:00:00,6.62
2023-01-06 04:00:00,16.34
2023-01-06 05:00:00,15.49
2023-01-06 06:00:00,18.52
2023-01-06 07:00:00,12.90
2023-01-06 08:00:00,11.89
2023-01-06 09:00:00,12.67
2023-01-06 10:00:00,10.41
2023-01-06 11:00:00,10.56
2023-01-06 12:00:00,10.89
2023-01-06 13:00:00,12.13
2023-01-06 14:00:00,10.04
2023-01-06 15:00:00,24.76
2023-01-06 16:00:00,22.91
2023-01-06 17:00:00,24.20
2023-01-06 18:00:00,24.73
2023-01-06 19:00:00,21.54
2023-01-06 20:00:00,8.59
2023-01-06 21:00:00,9.26
2023-01-06 22:00:00,7.59
2023-01-06 23:00:00,6.38
2023-01-07 00:00:00,6.68
2023-01-07 01:00:00,7.63
2023-01-07 02:00:00,6.84
2023-01-07 03:00:00,6.38
2023-01-07 04:00:00,21.70
2023-01-07 05:00:00,19.05
2023-01-07 06:00:00,21.61
2023-01-07 07:00:00,14.44
2023-01-07 08:00:00,14.04
2023-01-07 09:00:00,15.08
2023-01-07 10:00:00,12.84
2023-01-07 11:00:00,14.84
2023-01-07 12:00:00,12.40
2023-01-07 13:00:00,14.14
2023-01-07 14:00:00,14.36
2023-01-07 15:00:00,28.03
2023-01-07 16:00:00,27.90
2023-01-07 17:00:00,24.76
2023-01-07 18:00:00,26.90
2023-01-07 19:00:00,24.43
2023-01-07 20:00:00,11.28
2023-01-07 21:00:00,10.99
2023-01-07 22:00:00,6.35
2023-01-07 23:00:00,6.82
2023-01-08 00:00:00,8.23
2023-01-08 01:00:00,7.09
2023-01-08 02:00:00,7.42
2023-01-08 03:00:00,6.44
2023-01-08 04:00:00,22.52
2023-01-08 05:00:00,18.90
2023-01-08 06:00:00,18.65
2023-01-08 07:00:00,12.08
2023-01-08 08:00:00,13.64
2023-01-08 09:00:00,13.50
2023-01-08 10:00:00,12.78
2023-01-08 11:00:00,13.51
2023-01-08 12:00:00,14.57
2023-01-08 13:00:00,12.49
2023-01-08 14:00:00,14.40
2023-01-08 15:00:00,27.95
2023-01-08 16:00:00,26.17
2023-01-08 17:00:00,28.99
2023-01-08 18:00:00,29.50
2023-01-08 19:00:00,26.32
2023-01-08 20:00:00,11.60
2023-01-08 21:00:00,9.91
2023-01-08 22:00:00,5.68
2023-01-08 23:00:00,5.52
2023-01-09 00:00:00,6.66
2023-01-09 01:00:00,5.10
2023-01-09 02:00:00,6.99
2023-01-09 03:00:00,6.14
2023-01-09 04:00:00,19.71
2023-01-09 05:00:00,16.23
2023-01-09 06:00:00,18.86
2023-01-09 07:00:00,10.71
2023-01-09 08:00:00,11.86
2023-01-09 09:00:00,12.66
2023-01-09 10:00:00,11.91
2023-01-09 11:00:00,11.74
2023-01-09 12:00:00,10.51
2023-01-09 13:00:00,10.03
2023-01-09 14:00:00,11.64
2023-01-09 15:00:00,22.45
2023-01-09 16:00:00,24.53
2023-01-09 17:00:00,23.60
2023-01-09 18:00:00,24.65
2023-01-09 19:00:00,21.63
2023-01-09 20:00:00,8.42
2023-01-09 21:00:00,8.78
2023-01-09 22:00:00,6.71
2023-01-09 23:00:00,6.94
2023-01-10 00:00:00,6.09
2023-01-10 01:00:00,5.73
2023-01-10 02:00:00,6.87
2023-01-10 03:00:00,6.07
2023-01-10 04:00:00,18.18
2023-01-10 05:00:00,19.77
2023-01-10 06:00:00,17.01
2023-01-10 07:00:00,11.00
2023-01-10 08:00:00,12.63
2023-01-10 09:00:00,10.72
2023-01-10 10:00:00,11.02
2023-01-10 11:00:00,10.05
2023-01-10 12:00:00,32.10
2023-01-10 13:00:00,10.10
2023-01-10 14:00:00,10.82
2023-01-10 15:00:00,20.85
2023-01-10 16:00:00,22.51
2023-01-10 17:00:00,24.01
2023-01-10 18:00:00,20.71
2023-01-10 19:00:00,22.43
2023-01-10 20:00:00,9.04
2023-01-10 21:00:00,8.43
2023-01-10 22:00:00,6.18
2023-01-10 23:00:00,5.09
2023-01-11 00:00:00,6.64
2023-01-11 01:00:00,6.93
2023-01-11 02:00:00,6.69
2023-01-11 03:00:00,5.94
2023-01-11 04:00:00,15.55
2023-01-11 05:00:00,16.31
2023-01-11 06:00:00,16.12
2023-01-11 07:00:00,11.14
2023-01-11 08:00:00,11.35
2023-01-11 09:00:00,10.28
2023-01-11 10:00:00,11.78
2023-01-11 11:00:00,11.55
2023-01-11 12:00:00,10.12
2023-01-11 13:00:00,10.71
2023-01-11 14:00:00,12.77
2023-01-11 15:00:00,21.66
2023-01-11 16:00:00,23.10
2023-01-11 17:00:00,21.21
2023-01-11 18:00:00,21.99
2023-01-11 19:00:00,20.26
2023-01-11 20:00:00,8.22
2023-01-11 21:00:00,9.69
2023-01-11 22:00:00,6.42
2023-01-11 23:00:00,6.35
2023-01-12 00:00:00,5.12
2023-01-12 01:00:00,6.28
2023-01-12 02:00:00,6.24
2023-01-12 03:00:00,6.11
2023-01-12 04:00:00,18.40
2023-01-12 05:00:00,16.61
2023-01-12 06:00:00,17.95
2023-01-12 07:00:00,11.88
2023-01-12 08:00:00,12.93
2023-01-12 09:00:00,11.77
2023-01-12 10:00:00,12.08
2023-01-12 11:00:00,11.25
2023-01-12 12:00:00,10.46
2023-01-12 13:00:00,10.37
2023-01-12 14:00:00,12.80
2023-01-12 15:00:00,22.77
2023-01-12 16:00:00,21.66
2023-01-12 17:00:00,24.84
2023-01-12 18:00:00,22.62
2023-01-12 19:00:00,21.95
2023-01-12 20:00:00,10.52
2023-01-12 21:00:00,9.57
2023-01-12 22:00:00,5.48
2023-01-12 23:00:00,5.74
2023-01-13 00:00:00,5.67
2023-01-13 01:00:00,5.61
2023-01-13 02:00:00,5.14
2023-01-13 03:00:00,5.81
2023-01-13 04:00:00,16.40
2023-01-13 05:00:00,16.11
2023-01-13 06:00:00,18.55
2023-01-13 07:00:00,11.97
2023-01-13 08:00:00,11.37
2023-01-13 09:00:00,10.38
2023-01-13 10:00:00,12.36
2023-01-13 11:00:00,12.72
2023-01-13 12:00:00,10.31
2023-01-13 13:00:00,10.37
2023-01-13 14:00:00,10.21
2023-01-13 15:00:00,23.00
2023-01-13 16:00:00,22.33
2023-01-13 17:00:00,20.82
2023-01-13 18:00:00,21.80
2023-01-13 19:00:00,23.68
2023-01-13 20:00:00,10.57
2023-01-13 21:00:00,8.04
2023-01-13 22:00:00,6.55
2023-01-13 23:00:00,7.54
2023-01-14 00:00:00,8.07
2023-01-14 01:00:00,7.50
2023-01-14 02:00:00,7.37
2023-01-14 03:00:00,7.92
2023-01-14 04:00:00,21.25
2023-01-14 05:00:00,24.00
2023-01-14 06:00:00,19.32
2023-01-14 07:00:00,12.25
2023-01-14 08:00:00,12.73
2023-01-14 09:00:00,12.80
2023-01-14 10:00:00,13.58
2023-01-14 11:00:00,12.31
2023-01-14 12:00:00,12.86
2023-01-14 13:00:00,15.02
2023-01-14 14:00:00,15.40
2023-01-14 15:00:00,29.60
2023-01-14 16:00:00,27.56
2023-01-14 17:00:00,27.56
2023-01-14 18:00:00,27.01
2023-01-14 19:00:00,24.03
2023-01-14 20:00:00,11.94
2023-01-14 21:00:00,10.16
2023-01-14 22:00:00,6.73
2023-01-14 23:00:00,7.09
2023-01-15 00:00:00,6.67
2023-01-15 01:00:00,7.64
2023-01-15 02:00:00,6.28
2023-01-15 03:00:00,6.54
2023-01-15 04:00:00,18.43
2023-01-15 05:00:00,20.79
2023-01-15 06:00:00,23.17
2023-01-15 07:00:00,13.08
2023-01-15 08:00:00,12.98
2023-01-15 09:00:00,12.75
2023-01-15 10:00:00,12.17
2023-01-15 11:00:00,13.64
2023-01-15 12:00:00,14.61
2023-01-15 13:00:00,14.82
2023-01-15 14:00:00,12.02
2023-01-15 15:00:00,29.25
2023-01-15 16:00:00,25.18
2023-01-15 17:00:00,28.76
2023-01-15 18:00:00,26.53
2023-01-15 19:00:00,29.55
2023-01-15 20:00:00,10.23
2023-01-15 21:00:00,13.01
2023-01-15 22:00:00,6.28
2023-01-15 23:00:00,6.85
2023-01-16 00:00:00,6.13
2023-01-16 01:00:00,6.46
2023-01-16 02:00:00,6.83
2023-01-16 03:00:00,5.22
2023-01-16 04:00:00,19.35
2023-01-16 05:00:00,18.73
2023-01-16 06:00:00,18.47
2023-01-16 07:00:00,11.37
2023-01-16 08:00:00,10.91
2023-01-16 09:00:00,10.62
2023-01-16 10:00:00,11.00
2023-01-16 11:00:00,11.02
2023-01-16 12:00:00,12.85
2023-01-16 13:00:00,12.15
2023-01-16 14:00:00,11.19
2023-01-16 15:00:00,23.66
2023-01-16 16:00:00,22.18
2023-01-16 17:00:00,20.17
2023-01-16 18:00:00,20.88
2023-01-16 19:00:00,23.96
2023-01-16 20:00:00,8.53
2023-01-16 21:00:00,10.59
2023-01-16 22:00:00,6.02
2023-01-16 23:00:00,5.43
2023-01-17 00:00:00,6.73
2023-01-17 01:00:00,5.58
2023-01-17 02:00:00,6.45
2023-01-17 03:00:00,6.85
2023-01-17 04:00:00,16.94
2023-01-17 05:00:00,19.79
2023-01-17 06:00:00,16.50
2023-01-17 07:00:00,12.45
2023-01-17 08:00:00,11.44
2023-01-17 09:00:00,11.72
2023-01-17 10:00:00,12.61
2023-01-17 11:00:00,11.53
2023-01-17 12:00:00,10.39
2023-01-17 13:00:00,12.99
2023-01-17 14:00:00,11.20
2023-01-17 15:00:00,24.53
2023-01-17 16:00:00,23.30
2023-01-17 17:00:00,24.79
2023-01-17 18:00:00,20.53
2023-01-17 19:00:00,20.26
2023-01-17 20:00:00,9.18
2023-01-17 21:00:00,8.52
2023-01-17 22:00:00,5.04
2023-01-17 23:00:00,5.47
2023-01-18 00:00:00,5.06
2023-01-18 01:00:00,5.48
2023-01-18 02:00:00,5.33
2023-01-18 03:00:00,6.33
2023-01-18 04:00:00,18.76
2023-01-18 05:00:00,15.90
2023-01-18 06:00:00,15.36
2023-01-18 07:00:00,10.50
2023-01-18 08:00:00,12.40
2023-01-18 09:00:00,11.10
2023-01-18 10:00:00,12.46
2023-01-18 11:00:00,11.13
2023-01-18 12:00:00,12.79
2023-01-18 13:00:00,10.92
2023-01-18 14:00:00,12.70
2023-01-18 15:00:00,24.79
2023-01-18 16:00:00,21.26
2023-01-18 17:00:00,23.72
2023-01-18 18:00:00,23.12
2023-01-18 19:00:00,24.63
2023-01-18 20:00:00,8.09
2023-01-18 21:00:00,8.46
2023-01-18 22:00:00,5.40
2023-01-18 23:00:00,6.74
2023-01-19 00:00:00,6.66
2023-01-19 01:00:00,6.18
2023-01-19 02:00:00,5.32
2023-01-19 03:00:00,5.84
2023-01-19 04:00:00,16.18
2023-01-19 05:00:00,19.76
2023-01-19 06:00:00,18.24
2023-01-19 07:00:00,11.87
2023-01-19 08:00:00,12.09
2023-01-19 09:00:00,12.48
2023-01-19 10:00:00,11.80
2023-01-19 11:00:00,10.42
2023-01-19 12:00:00,12.92
2023-01-19 13:00:00,11.15
2023-01-19 14:00:00,10.80
2023-01-19 15:00:00,20.86
2023-01-19 16:00:00,23.42
2023-01-19 17:00:00,21.19
2023-01-19 18:00:00,22.18
2023-01-19 19:00:00,22.85
2023-01-19 20:00:00,9.40
2023-01-19 21:00:00,8.45
2023-01-19 22:00:00,5.60
2023-01-19 23:00:00,5.53
2023-01-20 00:00:00,5.82
2023-01-20 01:00:00,5.26
2023-01-20 02:00:00,5.40
2023-01-20 03:00:00,5.49
2023-01-20 04:00:00,19.53
2023-01-20 05:00:00,17.98
2023-01-20 06:00:00,15.13
2023-01-20 07:00:00,12.63
2023-01-20 08:00:00,10.02
2023-01-20 09:00:00,10.30
2023-01-20 10:00:00,10.52
2023-01-20 11:00:00,12.64
2023-01-20 12:00:00,12.56
2023-01-20 13:00:00,10.08
2023-01-20 14:00:00,12.04
2023-01-20 15:00:00,24.90
2023-01-20 16:00:00,23.45
2023-01-20 17:00:00,4.56
2023-01-20 18:00:00,24.03
2023-01-20 19:00:00,22.35
2023-01-20 20:00:00,9.68
2023-01-20 21:00:00,10.85
2023-01-20 22:00:00,6.61
2023-01-20 23:00:00,7.74
2023-01-21 00:00:00,8.19
2023-01-21 01:00:00,7.97
2023-01-21 02:00:00,7.90
2023-01-21 03:00:00,6.54
2023-01-21 04:00:00,18.60
2023-01-21 05:00:00,22.62
2023-01-21 06:00:00,20.88
2023-01-21 07:00:00,12.18
2023-01-21 08:00:00,13.24
2023-01-21 09:00:00,13.79
2023-01-21 10:00:00,12.29
2023-01-21 11:00:00,14.25
2023-01-21 12:00:00,14.46
2023-01-21 13:00:00,15.36
2023-01-21 14:00:00,14.69
2023-01-21 15:00:00,29.62
2023-01-21 16:00:00,29.33
2023-01-21 17:00:00,27.39
2023-01-21 18:00:00,26.53
2023-01-21 19:00:00,28.50
2023-01-21 20:00:00,11.64
2023-01-21 21:00:00,10.83
2023-01-21 22:00:00,6.03
2023-01-21 23:00:00,7.06
2023-01-22 00:00:00,7.92
2023-01-22 01:00:00,7.57
2023-01-22 02:00:00,7.45
2023-01-22 03:00:00,6.14
2023-01-22 04:00:00,22.08
2023-01-22 05:00:00,20.48
2023-01-22 06:00:00,18.22
2023-01-22 07:00:00,12.27
2023-01-22 08:00:00,12.70
2023-01-22 09:00:00,14.61
2023-01-22 10:00:00,13.53
2023-01-22 11:00:00,13.56
2023-01-22 12:00:00,13.73
2023-01-22 13:00:00,13.44
2023-01-22 14:00:00,14.42
2023-01-22 15:00:00,28.82
2023-01-22 16:00:00,26.90
2023-01-22 17:00:00,24.35
2023-01-22 18:00:00,29.82
2023-01-22 19:00:00,29.95
2023-01-22 20:00:00,11.48
2023-01-22 21:00:00,12.73
2023-01-22 22:00:00,6.94
2023-01-22 23:00:00,5.98
2023-01-23 00:00:00,6.21
2023-01-23 01:00:00,5.46
2023-01-23 02:00:00,6.14
2023-01-23 03:00:00,5.54
2023-01-23 04:00:00,18.23
2023-01-23 05:00:00,18.46
2023-01-23 06:00:00,19.48
2023-01-23 07:00:00,10.73
2023-01-23 08:00:00,12.42
2023-01-23 09:00:00,10.80
2023-01-23 10:00:00,12.75
2023-01-23 11:00:00,10.76
2023-01-23 12:00:00,12.04
2023-01-23 13:00:00,12.01
2023-01-23 14:00:00,12.16
2023-01-23 15:00:00,21.98
2023-01-23 16:00:00,24.42
2023-01-23 17:00:00,24.19
2023-01-23 18:00:00,21.25
2023-01-23 19:00:00,21.39
2023-01-23 20:00:00,8.38
2023-01-23 21:00:00,8.68
2023-01-23 22:00:00,6.78
2023-01-23 23:00:00,6.88
2023-01-24 00:00:00,5.76
2023-01-24 01:00:00,6.13
2023-01-24 02:00:00,5.60
2023-01-24 03:00:00,6.48
2023-01-24 04:00:00,17.58
2023-01-24 05:00:00,18.45
2023-01-24 06:00:00,17.14
2023-01-24 07:00:00,10.68
2023-01-24 08:00:00,11.92
2023-01-24 09:00:00,10.36
2023-01-24 10:00:00,11.64
2023-01-24 11:00:00,11.96
2023-01-24 12:00:00,12.85
2023-01-24 13:00:00,12.12
2023-01-24 14:00:00,10.34
2023-01-24 15:00:00,20.12
2023-01-24 16:00:00,20.12
2023-01-24 17:00:00,22.69
2023-01-24 18:00:00,22.99
2023-01-24 19:00:00,23.65
2023-01-24 20:00:00,8.21
2023-01-24 21:00:00,8.34
2023-01-24 22:00:00,6.36
2023-01-24 23:00:00,5.64
2023-01-25 00:00:00,1.24
2023-01-25 01:00:00,5.45
2023-01-25 02:00:00,6.89
2023-01-25 03:00:00,5.32
2023-01-25 04:00:00,18.96
2023-01-25 05:00:00,18.80
2023-01-25 06:00:00,17.35
2023-01-25 07:00:00,10.66
2023-01-25 08:00:00,12.02
2023-01-25 09:00:00,12.28
2023-01-25 10:00:00,12.82
2023-01-25 11:00:00,11.53
2023-01-25 12:00:00,10.76
2023-01-25 13:00:00,12.17
2023-01-25 14:00:00,11.26
2023-01-25 15:00:00,20.77
2023-01-25 16:00:00,23.60
2023-01-25 17:00:00,20.74
2023-01-25 18:00:00,21.67
2023-01-25 19:00:00,24.82
2023-01-25 20:00:00,8.34
2023-01-25 21:00:00,8.07
2023-01-25 22:00:00,5.57
2023-01-25 23:00:00,6.58
2023-01-26 00:00:00,6.53
2023-01-26 01:00:00,6.26
2023-01-26 02:00:00,6.12
2023-01-26 03:00:00,6.83
2023-01-26 04:00:00,18.00
2023-01-26 05:00:00,16.26
2023-01-26 06:00:00,15.52
2023-01-26 07:00:00,12.04
2023-01-26 08:00:00,10.00
2023-01-26 09:00:00,12.24
2023-01-26 10:00:00,11.76
2023-01-26 11:00:00,10.39
2023-01-26 12:00:00,12.68
2023-01-26 13:00:00,12.59
2023-01-26 14:00:00,11.83
2023-01-26 15:00:00,24.26
2023-01-26 16:00:00,22.90
2023-01-26 17:00:00,24.69
2023-01-26 18:00:00,20.08
2023-01-26 19:00:00,21.19
2023-01-26 20:00:00,9.52
2023-01-26 21:00:00,10.40
2023-01-26 22:00:00,5.25
2023-01-26 23:00:00,5.82
2023-01-27 00:00:00,6.60
2023-01-27 01:00:00,6.63
2023-01-27 02:00:00,5.42
2023-01-27 03:00:00,6.05
2023-01-27 04:00:00,19.36
2023-01-27 05:00:00,16.12
2023-01-27 06:00:00,16.82
2023-01-27 07:00:00,11.30
2023-01-27 08:00:00,11.78
2023-01-27 09:00:00,11.24
2023-01-27 10:00:00,12.17
2023-01-27 11:00:00,11.94
2023-01-27 12:00:00,12.96
2023-01-27 13:00:00,10.79
2023-01-27 14:00:00,11.72
2023-01-27 15:00:00,24.19
2023-01-27 16:00:00,22.37
2023-01-27 17:00:00,20.93
2023-01-27 18:00:00,21.02
2023-01-27 19:00:00,24.74
2023-01-27 20:00:00,10.90
2023-01-27 21:00:00,9.02
2023-01-27 22:00:00,6.51
2023-01-27 23:00:00,7.40
2023-01-28 00:00:00,6.15
2023-01-28 01:00:00,7.24
2023-01-28 02:00:00,7.00
2023-01-28 03:00:00,7.74
2023-01-28 04:00:00,21.70
2023-01-28 05:00:00,18.28
2023-01-28 06:00:00,18.34
2023-01-28 07:00:00,14.13
2023-01-28 08:00:00,15.41
2023-01-28 09:00:00,15.14
2023-01-28 10:00:00,15.27
2023-01-28 11:00:00,12.87
2023-01-28 12:00:00,15.49
2023-01-28 13:00:00,14.32
2023-01-28 14:00:00,13.56
2023-01-28 15:00:00,26.84
2023-01-28 16:00:00,28.84
2023-01-28 17:00:00,28.19
2023-01-28 18:00:00,27.06
2023-01-28 19:00:00,26.43
2023-01-28 20:00:00,11.27
2023-01-28 21:00:00,9.67
2023-01-28 22:00:00,6.57
2023-01-28 23:00:00,7.00
2023-01-29 00:00:00,7.50
2023-01-29 01:00:00,8.25
2023-01-29 02:00:00,7.19
2023-01-29 03:00:00,8.11
2023-01-29 04:00:00,18.17
2023-01-29 05:00:00,19.99
2023-01-29 06:00:00,18.67
2023-01-29 07:00:00,12.20
2023-01-29 08:00:00,14.51
2023-01-29 09:00:00,13.52
2023-01-29 10:00:00,12.24
2023-01-29 11:00:00,12.20
2023-01-29 12:00:00,14.55
2023-01-29 13:00:00,15.49
2023-01-29 14:00:00,14.49
2023-01-29 15:00:00,25.70
2023-01-29 16:00:00,24.07
2023-01-29 17:00:00,25.85
2023-01-29 18:00:00,24.16
2023-01-29 19:00:00,28.75
2023-01-29 20:00:00,10.88
2023-01-29 21:00:00,12.82
2023-01-29 22:00:00,5.33
2023-01-29 23:00:00,5.27
2023-01-30 00:00:00,5.48
2023-01-30 01:00:00,5.25
2023-01-30 02:00:00,5.08
2023-01-30 03:00:00,5.38
2023-01-30 04:00:00,18.34
2023-01-30 05:00:00,16.15
2023-01-30 06:00:00,18.36
2023-01-30 07:00:00,11.84
2023-01-30 08:00:00,10.22
2023-01-30 09:00:00,11.02
2023-01-30 10:00:00,10.02
2023-01-30 11:00:00,11.58
2023-01-30 12:00:00,12.25
2023-01-30 13:00:00,11.65
2023-01-30 14:00:00,10.37
2023-01-30 15:00:00,22.75
2023-01-30 16:00:00,23.22
2023-01-30 17:00:00,20.28
2023-01-30 18:00:00,24.45
2023-01-30 19:00:00,23.22
2023-01-30 20:00:00,9.58
2023-01-30 21:00:00,10.29
2023-01-30 22:00:00,6.20
